population_id,container_id,container_name,prod_stage,environment,site,site_group,company,org_unit_id,org_unit_name,start_time,end_time,input_name,input_number,year_class,population_name,input_year,input_number_ext,fishgroup,inferred_supplier_code,inferred_month,inferred_year,inferred_year_class,candidate_batch_keys,stage_name,aquamind_stage,stage_source
40C05A3C-E09F-450A-81FE-A7D6C0112155,148CC3A2-1174-453B-AE2A-53AB39ED4542,Temp,,,,,,992A3397-254A-46FA-B13C-74B285389CDE,Temp,2024-03-10 14:46:12,2024-03-10 14:46:12,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
461FF271-3BE8-4F3B-9DC4-DFD3838CF270,664CC59E-5EF7-47A7-81AB-BB20570D9854,Temp,,,,,,F989031C-137C-4D66-AFE6-1E19DC71F0A7,Temp,2024-03-10 14:32:48,2024-03-10 14:32:48,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
4944532C-22FC-4E6D-A11C-BBD755BACF76,AD8232B1-11C6-4AA5-B994-9F32AF469AD9,Temp,,,,,,A01171CD-31D2-4B28-912E-DF1740303A44,Temp,2024-06-04 09:24:59,2024-06-04 09:24:59,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
4AB7DADB-BC5B-4450-88BF-8B592F1B005E,06B5634E-0A63-462D-906F-9DAE6DA8BE57,Temp,,,,,,3A7FDA61-C2C4-4ED4-8485-5E781C5F382C,Temp,2024-06-10 15:27:23,2024-06-10 15:27:23,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
4C6B69E0-B8F8-4A36-AF04-669C9FDC2435,81BEFFB2-61C8-400D-8228-8D37F5A60A26,Temp,,,,,,7A2EBFA1-E597-4342-A781-BE5E0895C63C,Temp,2024-02-22 14:11:42,2024-02-22 14:11:42,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
4D1582F8-F0B7-44D5-9D93-E340413E11B9,C2E4A02B-7408-4B48-9A65-DE38157B3D91,Temp,,,,,,5ED05BCF-7877-4036-82AE-F851D5CE5D90,Temp,2024-03-14 20:46:06,2024-03-14 20:46:06,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
5113180B-88E6-47EF-87CE-D9EA6C3A4A7B,FBBEA4E1-F57D-4F54-B079-12C8BBEFD40F,Temp,,,,,,2C7AB66D-9895-49FC-9417-0F8052E2542A,Temp,2024-06-05 21:48:40,2024-06-05 21:48:40,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
529ACA26-7465-4CDC-91BD-3283B3CD986E,C660E2D3-EC8B-4ED6-90CA-FB734C97322D,Temp,,,,,,3622D018-894E-4C68-8160-1F610D7A1386,Temp,2024-06-19 15:43:09,2024-06-19 15:43:09,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
54132092-228F-4244-B386-6CD941D54BBD,FBAEB8E9-E486-4674-B172-5BEDE758E6D2,Temp,,,,,,E9DFC407-E1EA-47B7-8716-A7752633B58F,Temp,2024-06-04 09:29:22,2024-06-04 09:29:22,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
5431F70E-7B16-43B2-86A9-7C8B4CA2D67C,2D2C3E61-AFE2-4B28-998F-3860E1B6D0E5,Temp,,,,,,CB9FFB75-518A-42DF-898C-8D85676F6B4B,Temp,2024-04-20 10:00:30,2024-04-20 10:00:30,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
569A87D0-90A1-4383-92CF-B7A768266B68,62D3E0DD-C5F3-417C-BBA8-DE2FEAC5F399,Temp,,,,,,FE6204AC-3B30-4504-9A88-F4EB0BCA6A6A,Temp,2024-06-19 12:43:09,2024-06-19 12:43:09,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
