area_id,area_name,geography,area_group,area_group_parent,container_count,active,latitude,longitude,max_biomass_kg,source_orgunit_id
48,85F15229-93B7-4A56-9FC7-763A0CB5F91C,Unknown,,,0,True,58.216667,-6.800000,0.00,
37,874C26A6-417B-4E9E-8FB9-623C5C04E955,Unknown,,,0,True,62.237553,-7.043610,0.00,
17,893DFDEF-CE17-4D6B-9D75-2D9877CAAEFC,Unknown,,,0,True,62.057747,-6.809463,0.00,
27,8ACC756D-149C-4DB8-B189-467EA32773A7,Unknown,,,0,True,57.568611,-7.299722,0.00,
34,8DF6F070-63F2-4AE8-BBAE-5869EB596735,Unknown,,,0,True,62.285327,-6.505580,0.00,
30,8EFDB6C1-6813-4232-8012-50143392416C,Unknown,,,0,True,62.151873,-6.873665,0.00,
101,9464CAD6-341F-4921-8D8A-F670040D6881,Unknown,,,0,True,61.450255,-6.771698,0.00,
22,97BA1664-F282-407F-B44A-40D4783DA413,Unknown,,,0,True,62.000000,-7.000000,0.00,
84,9C437AD3-C597-470B-B00C-D86534C6BDC6,Unknown,,,0,True,57.397500,-7.235833,0.00,
2,9C49DE37-B44F-4512-B1E5-0F02EA3FF8C4,Unknown,,,0,True,62.109504,-6.864738,0.00,
3,A2D1E210-BB0E-4BEB-94CC-0F643F885B7D,Unknown,,,0,True,57.823611,-6.789167,0.00,
72,A4E07209-3C85-45CA-9CF3-BC541D353A27,Unknown,,,0,True,56.150000,-5.166667,0.00,
1,A5EBD387-9C35-4D11-9334-0AB967AC649C,Unknown,,,0,True,-62.177843,-6.709900,0.00,
13,A8660562-9F86-4AC0-8A80-2738BA0B052C,Unknown,,,0,True,57.818056,-6.874722,0.00,
71,AB40D746-029D-4470-BF0C-BAD209052565,Unknown,,,0,True,58.351111,-6.584444,0.00,
47,ABDAE2B9-7CDD-4495-BDFD-7554612A607C,Unknown,,,0,True,56.781944,-5.727500,0.00,
76,AC44CDC0-2FB2-4852-B764-C0801C6B9E61,Unknown,,,0,True,56.066667,-4.000000,0.00,
42,AD410817-96DB-494E-B7C7-6FC0B3CA1638,Unknown,,,0,True,57.791944,-6.968611,0.00,
23,ADB6A292-A63D-4CB9-97DA-414E8EE89B82,Unknown,,,0,True,57.418333,-5.466111,0.00,
26,B615EEA4-3973-4C1A-BB6A-4661637D161C,Unknown,,,0,True,62.238352,-6.514206,0.00,
83,B81A13DC-62B4-443F-8B65-D74753ACBB0C,Unknown,,,0,True,56.116667,-5.216667,0.00,
33,B82509A2-35B9-4222-9127-5721DD0F9D9A,Unknown,,,0,True,57.973056,-6.987778,0.00,
5,BA0FDC90-5CD0-4F3A-BDA6-117D70F2EBAB,Unknown,,,0,True,62.150269,-6.755562,0.00,
32,BB3DDCFC-EECA-4268-9DBD-548FB6026E4B,Unknown,,,0,True,55.950000,-5.433333,0.00,
63,BFF100C2-4A42-4EB8-99AF-A493FAC27904,Unknown,,,0,True,55.966667,-5.350000,0.00,
31,C0A6367C-082E-4DFD-8728-5297DA1233FA,Unknown,,,0,True,57.835556,-6.737500,0.00,
44,C1336626-5E2F-4975-9216-724BD56CD343,Unknown,,,0,True,57.966667,-6.716667,0.00,
93,C27A2DFE-53E8-4A8D-BB13-E9FDF55385F2,Unknown,,,0,True,55.916667,-5.183333,0.00,
67,C42CADB1-E4C1-4551-A4FC-ABEDE0240290,Unknown,,,0,True,62.066667,-7.000000,0.00,
20,CBFFAAF8-322E-46D4-A072-3B1994AE379B,Unknown,,,0,True,57.366667,-5.516667,0.00,
4,CDDB61DC-B432-4AA3-A7AB-107A6760C018,Unknown,,,0,True,62.288684,-6.949196,0.00,
57,CE94FBD8-8C93-4620-86E1-8C7D5EA91752,Unknown,,,0,True,57.584722,-5.730000,0.00,
55,D3035A39-7156-4CBE-A61F-82B227E122B5,Unknown,,,0,True,56.483333,-6.183333,0.00,
50,D45B3A14-F7C5-4663-ABAA-7BBDCFCB41FD,Unknown,,,0,True,55.833333,-5.350000,0.00,
87,DA198A54-4212-458C-A9D2-DA95771FB995,Unknown,,,0,True,58.033333,-6.383333,0.00,
15,DACF21BF-CD28-4F97-984D-2A9C2469BFD8,Unknown,,,0,True,57.394722,-7.235833,0.00,
