tag_id,tag_name,description,unit,min_eu,max_eu,parameter_hint,sensor_id,container_id,parameter_id,notes
d6b46cdb-b1c4-465f-a080-848a99b10f21,B004_U01_H02_VA31.PV,Automatik ventil,,0.0,10.0,,,,,
800f2bf8-3970-493a-b1ee-1853c230667c,B004_U01_H03_EZ31.PV,Reguleringsventil,,0.0,10.0,,,,,
d7060ed7-517f-4348-a78c-6adceaab7885,B004_U01_H03_FT01_F.PV,Fejl strømvorsyning,,0.0,10.0,,,,,
edaac364-3b77-4730-8569-764541d9907d,B004_U01_H03_FT01_FT01.PV,Flowmåler,,0.0,100.0,,,,,
8c13fd12-1eec-4ae4-82e5-f04035951151,B004_U01_H03_FT01_TP01.PV,Termisk energi,,0.0,100.0,,,,,
7aef1313-c731-4ed7-a6c7-ee5b346fb484,B004_U01_H03_FT01_TT01.PV,Temperatur transmitter,,0.0,100.0,,,,,
9c7da8b2-5436-49d4-a1fc-64320994eff3,B004_U01_H03_FT01_TT02.PV,Temperatur transmitter,,0.0,100.0,,,,,
60e33e8c-7cc8-47e5-98c1-aa9fd001fdfb,B004_U01_H03_TT31.PV,Temperature transmitter,,0.0,100.0,,,,,
b6f71f81-40b6-42bd-a9be-1666af2a04e3,B004_U01_H03_VA31.PV,Reguleringsventil,,0.0,100.0,,,,,
59faefe7-93ac-4341-9177-8b76abfabf20,B004_U01_H03_VA31_pos.PV,Reguleringsventil,,0.0,100.0,,,,,
2f073de3-a410-4f84-89bb-1b7e437ee2f5,B004_U01_L01_EF41.PV,blæser,,0.0,10.0,,,,,
85b78cc2-e578-416b-8ce2-5e0d161edadb,B004_U01_L01_PT41.PV,Tryktransmitter,,-5.0,10.0,,,,,
d230db24-7976-4938-9709-3056a784a45d,B004_U01_L01_PT42.PV,pressure transmitter,,-5.0,10.0,,,,,
82fa8de4-efdf-4863-9d8b-5c46e5ebd389,B004_U01_L01_VA61.PV,Automatik ventil,,0.0,10.0,,,,,
a7a7dfe6-a92f-4f9d-8ec2-b3975fd40092,B004_U01_L01_VA62.PV,Automatik ventil,,0.0,10.0,,,,,
e6d48e65-8a3e-4c93-ba05-9f0743845e34,B004_U01_L02_EF61.PV,blæser,,0.0,10.0,,,,,
fb143a79-0d63-4c1f-b61c-642ab23bedfe,B004_U01_T01_FT41.PV,flowmåler,,0.0,15.0,,,,,
7360b406-e197-47ff-b8e4-2e8cf0775e53,B004_U01_T01_LT41.PV,Tryktransmitter,,0.0,100.0,,,,,
f4ab498a-0351-4216-b9aa-da32ab396158,B004_U01_T01_LT42.PV,Niveau næringsstof tank,,0.0,10.0,,,,,
1273fcd0-e58b-4315-86e4-9af01fc521e1,B004_U01_T01_PS41.PV,Tryk fejl,,0.0,10.0,,,,,
5f4bdf05-1f5f-41ed-9ddd-3c1d6af6dc6b,B004_U01_T01_PU41.PV,pumpe,,0.0,10.0,,,,,
7e405eb8-5637-4b2d-8464-dc80da11ab0c,B004_U01_T01_PU42.PV,doseringspumpe,,0.0,10.0,,,,,
118b776c-9f5a-4e12-976b-426aae505045,B004_U01_T01_PU43.PV,doseringspumpe,,0.0,10.0,,,,,
67f5fbf5-fc2a-4ea7-a11f-042be2cc71e5,B004_U01_T01_TT41.PV,temperature transmitter,,0.0,100.0,,,,,
b7ce5e88-28b1-4536-bb58-9479eded37ff,B004_U01_T01_TT42.PV,Temperature transmitter,,0.0,100.0,,,,,
5b27dd1b-c45b-495d-b715-d24f0fe11362,B004_U01_T01_VA41.PV,Automatik ventil,,0.0,10.0,,,,,
e225b1b0-6588-4c9f-aec4-a95cee6c7698,B004_U01_T01_VA41_F.PV,Fejl strømvorsyning,,0.0,10.0,,,,,
641eebce-4ac3-4def-9997-4b6cbedd35ac,B004_U01_T01_VA42.PV,Automatik ventil,,0.0,10.0,,,,,
2ee053f9-d65d-46e3-a395-fcef721c3ae3,B004_U01_T01_VA42_F.PV,Fejl strømvorsyning,,0.0,10.0,,,,,
f4fc189d-8f88-4666-b0c8-b51d4a2c0956,B004_U01_T03_EF41.PV,Blæser Biofilter,,0.0,10.0,,,,,
63a310e1-b3d1-4d32-81cd-ecf5c0e3c53f,B004_U01_T03_PT41.PV,Tryktransmitter,,-5.0,10.0,,,,,
cc0b7373-2f40-4f85-8e70-8ba844d9a1c8,B004_U01_T03_PT42.PV,Tryktransmitter,,-5.0,10.0,,,,,
d847fe3f-29b8-4837-b391-b5af326c19a0,B004_U01_T03_SX41.PV,Frekvensomformer,,0.0,100.0,,,,,
fba6ca03-9aa9-48c1-8300-aec7c83be31d,B004_U01_T03_SX41_FC.PV,Frekvensomformer,,0.0,100.0,,,,,
ddb68826-11d2-484b-aae7-d01d883855b4,B004_U01_T03_SX41_act.PV,Blæser Biofilter,,0.0,100.0,,,,,
9eda772f-723f-4a94-a149-dc71b029b707,B004_U01_T04_PU61.PV,pumpe,,0.0,10.0,,,,,
80cb7fcd-9f38-41e5-a163-8ccf6c1f246f,B005_U01_T01_LT01.PV,Niveau transmitter,,0.0,200.0,,,,,
7843b8dc-6f2f-476a-828c-404b4b4f23eb,B005_U01_T01_LT02.PV,Niveau transmitter puls,,0.0,260.0,,,,,
62f18d08-414a-4a9e-90fe-eae1c6355ecc,B005_U01_T01_MI01.PV,omrører,,0.0,10.0,,,,,
abaa163a-951a-4f6e-a0b4-6770a68c8891,B005_U01_T01_MI02.PV,omrører,,0.0,10.0,,,,,
d3909279-f3aa-4ee2-83e5-83ee3df325e5,B005_U01_T01_MI03.PV,omrører,,0.0,10.0,,,,,
c67b69b6-2825-4f9a-b841-7e343151402d,B005_U01_T01_PU01.PV,Pumpe,,0.0,10.0,,,,,
6b8e69d3-32cf-43ec-80a7-efab7baa63e5,B005_U01_T01_SX01.PV,Frekvensomformer,,0.0,100.0,,,,,
8406fe20-3542-46d5-bbd6-86d639100d4c,B005_U01_T01_SX01_FC.PV,Frekvensomformer,,0.0,100.0,,,,,
9eff2752-41c5-4145-b7f7-1abc5e432ef7,B005_U01_T01_SX01_act.PV,Pump til Past,,0.0,100.0,,,,,
7dcab0bc-5961-46b2-8e33-b7f7ce30a7cd,B005_U01_T01_VE01.PV,manuel ventil,,0.0,10.0,,,,,
d1112b2f-f2e2-40ab-bc08-729fda0e29c3,B005_U01_T01_VE02.PV,manuel ventil,,0.0,10.0,,,,,
8a6a8cd4-ead9-4088-a6ba-c6acc5e35994,B005_U01_T01_VE04.PV,manuel ventil,,0.0,10.0,,,,,
4f1d4ff4-9882-493a-8bd3-24585a3ebac9,B005_U01_T01_VE05.PV,manuel ventil,,0.0,10.0,,,,,
59939db5-8501-4bb3-8d4f-06b650f47886,B006_U01_T01_LS01.PV,Max level Industitank,,0.0,10.0,,,,,
dc02d00a-7dde-45f7-8dfb-eaf5d0a4065f,B006_U01_T01_LT02.PV,Niveau Industritank,,0.0,105.0,,,,,
90921432-2905-4b73-87ed-bdaffb145215,B006_U01_T01_MI01.PV,omrører,,0.0,10.0,,,,,
e7651e2c-1b3f-4597-9afb-834a423567bf,B006_U01_T01_MI02.PV,omrører,,0.0,10.0,,,,,
def9f010-89df-4bdc-ac2a-34fb3184e032,B006_U01_T01_PT01.PV,Industripumpe tryk,,-1.0,1.5,,,,,
6210c083-f701-4d97-8ada-c4fa2a4ce66d,B006_U01_T01_PU01.PV,Pumpe industritank,,0.0,10.0,,,,,
394e2f7f-ef54-4ed9-8355-f1ac75e2e859,B006_U01_T01_PU02.PV,Industripumpe,,0.0,10.0,,,,,
fdbc4b4e-8c96-4e08-adce-18deb7a64122,B006_U01_T01_SX01.PV,Frekvensomformer,,0.0,100.0,,,,,
98cc529c-4eb1-4f69-a1f8-44ccc0caa4ad,B006_U01_T01_SX01_FC.PV,Frekvensomformer,,0.0,100.0,,,,,
8467ecde-4e4f-491f-b559-85185093aa37,B006_U01_T01_SX01_act.PV,Pump Industritank,,0.0,100.0,,,,,
9d25a00c-4776-4d5f-b826-c2bbf67bdd18,B006_U01_T01_SX02.PV,Frekvensomformer,,0.0,100.0,,,,,
5bdbec9a-b9e2-475f-a153-17ce3763544f,B006_U01_T01_SX02_FC.PV,Frekvensomformer,,0.0,100.0,,,,,
40d77475-f764-46a3-9c57-6bca6e2cfd34,B006_U01_T01_SX02_act.PV,Industripumpe,,0.0,100.0,,,,,
279ee783-53aa-4fbf-8ce2-1fbf2b028378,B006_U01_T01_TT01.PV,Temperature transmitter,,0.0,100.0,,,,,
d3baa464-5128-4acf-af18-b0bca1d0b7e1,B006_U01_T01_TT02.PV,Temperature transmitter,,0.0,100.0,,,,,
1e6a314e-0b06-4ed5-aaf8-f4df91c389b3,B006_U01_T01_VA01.PV,Automatik ventil,,0.0,10.0,,,,,
06d5ec0e-5fae-41ab-83fa-e90ad126889a,B006_U01_T01_VE02.PV,manuel ventil,,0.0,10.0,,,,,
ab56d822-a2bf-4ef6-9ec5-74da21f0f602,B006_U01_T01_VE05.PV,manuel ventil,,0.0,10.0,,,,,
63798fbf-6791-4ca0-8002-738db0c52305,B006_U01_T01_VE06.PV,manuel ventil,,0.0,10.0,,,,,
6fe3b9d7-5f41-4c62-8cf0-a7ebc78c3382,B007_U01_L01_VA61.PV,Vand ventil,,0.0,10.0,,,,,
f55f5cd0-44ca-4c48-a4c2-b410a44879b5,B007_U01_T01_FT01.PV,flowmåler Digester,,0.0,200.0,,,,,
bc49f091-5bd8-4e96-9ee1-3ed6a90fa1ed,B007_U01_T01_FT21.PV,Gasflowmåler,,0.0,1500.0,,,,,
8f1b8bf8-fe24-403e-907b-e7e4925de9f5,B007_U01_T01_LT01.PV,Niveau transmitter,,0.0,160.0,,,,,
e41e8fc6-7090-4aef-b470-1b37f828537c,B007_U01_T01_LT02.PV,Niveau transmitter,,0.0,130.0,,,,,
4bc990a6-1fb9-4f3b-9e51-8060de4d4a62,B007_U01_T01_MI01.PV,omrører,,0.0,10.0,,,,,
6034b999-17fe-472e-b437-ce9212ea8a25,B007_U01_T01_PT01.PV,Tryk transmitter,,-1.0,9.0,,,,,
5559207a-7136-44fb-ba77-0be4f855d6eb,B007_U01_T01_PT21.PV,Tryk transmitter,,-5.0,32.0,,,,,
08ce45d3-7240-4be5-b390-06e15fb57746,B007_U01_T01_PU01.PV,Pumpe,,0.0,10.0,,,,,
eb54080b-13e4-44f5-9e45-3173cf69edd6,B007_U01_T01_SX01.PV,Frekvensomformer,,0.0,100.0,,,,,
3024b67b-eb31-4bc6-bab4-3424fd71edf5,B007_U01_T01_SX01_FC.PV,Frekvensomformer,,0.0,100.0,,,,,
bfa40b00-6d26-4e29-b62a-2b2d6e3a0abb,B007_U01_T01_SX01_act.PV,Agitator Reaktor,,0.0,100.0,,,,,
ed163906-6f0d-4cf2-8926-f31e73b7cb4e,B007_U01_T01_SX02.PV,Frekvensomformer,,0.0,100.0,,,,,
d7ca77d9-5925-451a-bcc3-aeb9c81e8152,B007_U01_T01_SX02_FC.PV,Frekvensomformer,,0.0,100.0,,,,,
019c86af-6064-4cec-bee8-fa38cb3cebc5,B007_U01_T01_SX02_act.PV,Pump fra Reaktor,,0.0,100.0,,,,,
da751fc4-cc23-40f2-b2d5-8c167b46ead6,B007_U01_T01_TT01.PV,Temperature transmitter,,0.0,100.0,,,,,
8307beca-01dc-4414-a5ef-427a298af6d9,B007_U01_T01_TT02.PV,Temperature transmitter,,0.0,100.0,,,,,
4ac1cd4e-191f-4ee7-a78e-00a22e27d62f,B007_U01_T01_TT03.PV,Temperature transmitter,,0.0,100.0,,,,,
02aa6127-ff35-4b87-9a75-8519d3b6ae13,B007_U01_T01_TT04.PV,Temperature transmitter,,0.0,100.0,,,,,
daef1ba0-abc5-4afc-9b23-ad437ee12e90,B007_U01_T01_VA01.PV,Automatik ventil,,0.0,10.0,,,,,
