population_id,weight_g,source,as_of_date,weight_date,current_count,current_biomass_kg,sample_size,population_name,fishgroup,environment,batch_label,input_project_id,input_project_name,year_class
C6FF2F10-F58E-4856-A740-771DB298952C,500.0,status,2026-02-04,2025-10-01,121399.0,60699.5,,Benchmark Gen. Juni 2024,242.0285,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
EB118BD1-BE1F-41B1-BE98-773E152A27B9,24.0,status,2026-02-04,2025-04-08,10088.0,242.112,,Benchmark Gen. Juni 2024,242.0198,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
90D203AB-E3B7-40F0-A332-7881EE4DF956,0.1,status,2026-02-04,2024-09-04,87443.0,8.7443,,Benchmark Gen. Juni 2024,242.0034,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
9F1544DE-8645-4402-B2B8-789CDCBEDC97,5.9,status,2026-02-04,2024-12-04,237528.0,1401.3,,Benchmark Gen. Juni 2024,242.0045,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
7D9B9688-50DD-4F8B-B413-797F0D8B85E1,280.94,status,2026-02-04,2025-10-31,126967.0,35670.3,,Benchmark Gen. Juni 2024,242.0311,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
259FDC14-9C42-4C00-88BC-79D7A8355C3B,6.26,status,2026-02-04,2024-12-05,279518.0,1750.79,,Benchmark Gen. Juni 2024,242.0060,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
4FD5036C-D87E-475F-9145-7A98924F0C64,79.62,status,2026-02-04,2025-05-21,95427.0,7597.54,,Benchmark Gen. Juni 2024,242.0255,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
A1754682-3BE8-47C0-8D5F-7B7E6BA762BC,546.0,status,2026-02-04,2025-09-16,25383.0,13859.1,,Benchmark Gen. Juni 2024,242.0270,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
A35135B7-AF98-4A64-94F4-7CA16835A7F0,39.0,status,2026-02-04,2025-02-07,182310.0,7110.09,,Benchmark Gen. Juni 2024,242.0141,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
09D8E6B3-DC23-4B3B-BE1D-7E0E350B67A5,42.0,status,2026-02-04,2025-02-11,112215.0,4713.03,,Benchmark Gen. Juni 2024,242.0146,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
