container_id,container_name,container_type,container_category,location_context,geography,station_name,hall_name,area_name,carrier_name,volume_m3,max_biomass_kg,hierarchy_role,parent_container_id,parent_container_name,active,source_container_id,source_official_id,source_org_unit_id
5870,K45,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,F404EF48-9D32-47B6-A3BE-42369E8CA169,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5860,K46,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,E94B14DB-C1F1-4B40-86B1-2A8F921F386B,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6103,K47,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,56736CAE-EDC6-425A-9E1D-750855563398,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5949,K48,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,0583CF77-EB93-496D-B83E-BF82B3A82212,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5957,K49,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,CE967D8B-B7B8-4AC0-82D8-D92A5B3DC2B5,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6071,K5,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,508482F1-9037-4DB8-A19B-B0926D0D1730,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
120,K5,FishTalk Imported Tank,TANK,hall,Faroe Islands,L01 Við Áir,Uppistova 2,,,0.00,0.00,HOLDING,,,True,6E4D78EA-4D03-4F51-B387-164F22787511,Uppistova 2;12109,F073CEA0-E6C7-4F7E-B0C0-BDB1ACB2347F
5996,K50,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,7B4E39EC-D704-4EF4-B98D-E070C8A0E13A,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6072,K51,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,762437E9-DC28-45B7-AB48-B1894982FB6A,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6036,K52,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,F39C0714-4FE4-4350-B2E1-D2AA2F4B1FDD,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6037,K53,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,B45B83DB-8A0B-4CF6-BC37-D9487AD4403C,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6041,K54,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,C2066350-7738-4881-8541-08D46E5036C6,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6105,K55,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,9CA955E1-87BC-4D46-AFAD-8107BB2161D7,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5933,K56,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,38936ED2-48DF-42A7-88A7-A52FAFC0146E,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6090,K57,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,544998C7-8A8D-450D-BB69-42D012D79949,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5834,K58,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,986AAEFD-FC23-46C9-9ED5-0C5525C8AF33,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6095,K59,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,A4C7EF09-811E-4C34-9680-782BDB22E639,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5925,K6,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,D4D1BEE1-F1ED-49A2-988A-9994ED096B9E,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
1174,K6,FishTalk Imported Tank,TANK,hall,Faroe Islands,L01 Við Áir,Uppistova 2,,,0.00,0.00,HOLDING,,,True,F05179DB-E6C0-4AF2-B37F-C1E6D5C97AA6,Uppistova 2;12110,F073CEA0-E6C7-4F7E-B0C0-BDB1ACB2347F
6058,K60,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,15B6CEA7-33CA-41CC-BE71-6AEF482042FD,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5968,K61,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,292AC656-2CD3-425C-A0A8-EADED03E289B,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5975,K62,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,5267CB89-95AA-4BBD-AF46-F3DF0D479181,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
5914,K63,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,F072DFCA-C039-4A07-9FFB-88D24F59FD7E,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
6011,K64,FishTalk Imported Tank,TANK,hall,Faroe Islands,S16 Glyvradalur,Gamalt,,,0.10,0.00,HOLDING,,,True,6ECBB4F1-57A9-455C-88CA-2A6344661C05,,177EF0AA-AD78-4C14-B3AB-20AD0B2A0CE5
