Site,Unit,Grouping,Fish group Name,Fish group Number,Start Time,End Time,Activity,Category,Registered by,Registration date
S16 Glyvradalur,C14,C Høll,Stofnfiskur mai 2025,25.03.020,12.01.2026 at 14:02:56,12.01.2026 at 14:02:56,Transfer,Stock Logistics Activities,s16soja,12.01.2026 at 14:05:11
S16 Glyvradalur,C16,C Høll,Stofnfiskur mai 2025,25.03.018,05.01.2026 at 08:42:07,05.01.2026 at 08:42:07,Transfer,Stock Logistics Activities,s16soja,06.01.2026 at 08:44:16
S16 Glyvradalur,D01,D Høll,Stofnfiskur feb 2025,25.0A.051,13.01.2026 at 09:07:05,13.01.2026 at 09:07:05,Transfer,Stock Logistics Activities,s16soja,14.01.2026 at 09:08:26
S16 Glyvradalur,D01,D Høll,Stofnfiskur feb 2025,25.0A.051,13.01.2026 at 09:04:27,13.01.2026 at 09:04:27,Transfer,Stock Logistics Activities,s16soja,14.01.2026 at 09:06:36
S16 Glyvradalur,D04,D Høll,Stofnfiskur feb 2025,25.0A.074,29.01.2026 at 08:42:18,29.01.2026 at 08:42:18,Transfer,Stock Logistics Activities,s16soja,30.01.2026 at 08:43:15
S16 Glyvradalur,D04,D Høll,Stofnfiskur Nov 2024,24.05.130,23.01.2026 at 20:09:22,23.01.2026 at 20:09:22,Transfer,Stock Logistics Activities,s16hewe,25.01.2026 at 20:25:18
S21 Viðareiði,5M 1,5m,StofnFiskur S-21 juli25,25.03.017,14.01.2026 at 10:19:06,14.01.2026 at 10:19:06,Transfer,Stock Logistics Activities,Sigurð Jacobsen,14.01.2026 at 10:20:54
S21 Viðareiði,5M 3,5m,Bakkafrost S-21 okt 25,25.05.011,21.01.2026 at 09:34:17,21.01.2026 at 09:34:17,Transfer,Stock Logistics Activities,Jacobina Petersen,22.01.2026 at 09:37:32
S21 Viðareiði,5M 3,5m,StofnFiskur S-21 juli25,25.03.015,15.01.2026 at 11:04:47,15.01.2026 at 11:04:47,Transfer,Stock Logistics Activities,Sigurð Jacobsen,15.01.2026 at 11:06:26
S21 Viðareiði,5M 6,5m,Stofnfiskur S21 okt 25,25.04.001,22.01.2026 at 15:28:52,22.01.2026 at 15:28:52,Transfer,Stock Logistics Activities,Jacobina Petersen,22.01.2026 at 15:29:22
S21 Viðareiði,A03,A,StofnFiskur S-21 apr 25,25.02.034,12.01.2026 at 12:43:14,12.01.2026 at 12:43:14,Transfer,Stock Logistics Activities,Sigurð Jacobsen,12.01.2026 at 12:44:38
S21 Viðareiði,A05,A,StofnFiskur S-21 juli25,25.03.024,14.01.2026 at 13:55:08,14.01.2026 at 13:55:08,Transfer,Stock Logistics Activities,Sigurð Jacobsen,14.01.2026 at 13:56:24
S21 Viðareiði,A05,A,StofnFiskur S-21 apr 25,25.02.035,12.01.2026 at 11:47:09,12.01.2026 at 11:47:09,Transfer,Stock Logistics Activities,Sigurð Jacobsen,12.01.2026 at 11:50:43
S21 Viðareiði,B01,BB,Bakkafrost S-21 jan 25,25.01.157,22.01.2026 at 12:05:16,22.01.2026 at 12:05:16,Transfer,Stock Logistics Activities,Jacobina Petersen,22.01.2026 at 12:06:38
S21 Viðareiði,B03,BB,StofnFiskur S-21 apr 25,25.02.109,21.01.2026 at 15:17:35,21.01.2026 at 15:17:35,Transfer,Stock Logistics Activities,Jacobina Petersen,21.01.2026 at 15:18:25
S21 Viðareiði,B03,BB,StofnFiskur S-21 apr 25,25.02.084,09.01.2026 at 15:17:19,09.01.2026 at 15:17:19,Transfer,Stock Logistics Activities,Sigurð Jacobsen,09.01.2026 at 15:17:39
S21 Viðareiði,B04,BB,Bakkafrost S-21 jan 25,25.01.155,22.01.2026 at 12:03:25,22.01.2026 at 12:03:25,Transfer,Stock Logistics Activities,Jacobina Petersen,22.01.2026 at 12:05:04
S21 Viðareiði,B05,BB,StofnFiskur S-21 apr 25,25.02.093,13.01.2026 at 13:50:28,13.01.2026 at 13:50:28,Transfer,Stock Logistics Activities,Sigurð Jacobsen,13.01.2026 at 13:55:11
S21 Viðareiði,B06,BB,StofnFiskur S-21 apr 25,25.02.091,20.01.2026 at 15:41:51,20.01.2026 at 15:41:51,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 15:44:29
S21 Viðareiði,B06,BB,StofnFiskur S-21 apr 25,25.02.100,20.01.2026 at 13:24:40,20.01.2026 at 13:24:40,Transfer,Stock Logistics Activities,Sigurð Jacobsen,20.01.2026 at 13:25:46
