schema_name,table_name,row_count
dbo,PlanSiteConditions,60459
dbo,PlanStatusAttributeCounts,0
dbo,PlanStatusFeedUse,4122925
dbo,PlanStatusVaccineCounts,384470
dbo,PlanTransfer,35705
dbo,PopDistCost,12666562
dbo,PopIndividuals,0
dbo,PopulationAttributes,467854
dbo,PopulationLink,21664
dbo,PopulationProductionStages,110940
dbo,PopulationProperty,204000
dbo,Populations,349311
dbo,PredatorMortalities,0
dbo,PredatorsCauseOfDeath,0
dbo,PredatorSpecies,0
dbo,PriceTable,14
dbo,PriceTableAdditions,0
dbo,PriceTableDetails,166
dbo,PriceTablePurpose,12
dbo,PriceTablePurposeTypes,3
dbo,ProductionCostModelEntries,0
dbo,ProductionCostModels,0
dbo,ProductionGoalTable,0
dbo,ProductionStages,13
dbo,PublicFeedUseStatus,0
dbo,PublicLiceSampleData,593097
dbo,PublicLiceSamples,216614
dbo,PublicMortalityStatus,33605420
dbo,PublicOperationTypes,43
dbo,PublicPlanPopulation,642998
dbo,PublicPlanPopulationAttributes,3447616
dbo,PublicPlanStatusValues,98336946
dbo,PublicSampleReasons,9
dbo,PublicStatusValues,7539442
dbo,PublicTransfers,307417
dbo,PublicTranslations,202
dbo,PublicWeeklyFreshwaterKPIs,0
dbo,PublicWeeklyMarineKPIs,0
dbo,PublicWeightSamples,325890
dbo,QualityClasses,19
dbo,QualityPrices,1
dbo,QualityTableEntries,156
dbo,QualityTables,3
dbo,ReasonForFeeding,0
dbo,ReasonForNotCheckingMortality,8
dbo,ReasonForNotFeeding,32
dbo,ReasonForTransfer,6
dbo,ReplicationScript,0
dbo,ReplicationSites,0
dbo,ReplicationTask,0
dbo,ReportedHarvestPrognosis,0
dbo,ReportTemplates,1337
dbo,ReportUse,6640
dbo,RHPQualities,0
dbo,RHPSingleHarvest,0
dbo,RHPSingleHarvestWeightClasses,0
dbo,RHPUnitPrognosis,0
dbo,RolePlugins,754
dbo,RoleReportColumnGroups,0
dbo,RoleReportColumns,0
dbo,Roles,21
dbo,RoleShares,21
dbo,SaleCause,7
dbo,SalesPriceAssumptionsTable,1
dbo,SalesPriceAssumptionsTableEntries,0
dbo,SalesPriceAssumptionsWeightClasses,2
dbo,ScheduleItems,8
dbo,ScheduleLog,4346
dbo,ScheduleLogItems,74385
dbo,Schedules,7
dbo,SensorGroupAssignments,701
dbo,SensorImportSetup,0
dbo,SensorReadings,2752836
dbo,Sensors,2719
dbo,SensorSiteAssignments,531
dbo,SensorTypes,71
dbo,SensorUnitAssignments,28820
dbo,SFROverrides,0
dbo,SGRTableEntries,18057
dbo,Share,74
dbo,SiteBiomassLimit,1
dbo,SiteBiomassLimitHistory,1
dbo,SiteFallowPeriods,0
dbo,SmoltSupplierAssignment,2
dbo,SmoltSupply,0
dbo,SmoltSupplyAttributes,0
dbo,SpawningSelection,7629
dbo,Species,58
dbo,Stand,73
dbo,StatusCalculation,7537807
dbo,SubTransferChanged,1
dbo,SubTransfers,204788
dbo,sysdiagrams,0
dbo,SystemSettings,21
dbo,TemperatureTableEntries,240
dbo,TemperatureTables,20
dbo,TGCTableEntries,7530
dbo,TidePrediction,0
dbo,TidePredictionLocation,0
dbo,TidePredictionWarningLimit,0
dbo,TransactionLog,20
dbo,TransferMethod,3
dbo,TransportCarrier,43
dbo,TransportMethods,14
dbo,Treatment,417179
dbo,TreatmentCategory,15
dbo,TreatmentReasons,35
dbo,TreatmentTemplate,0
dbo,TreatmentTemplateDetails,0
dbo,UACustomExport,6
dbo,UserGroupMemberships,913
dbo,UserGroupRoles,80
dbo,UserGroups,75
dbo,Users,706
dbo,UserSample,1156444
dbo,UserSampleParameter,36
dbo,UserSampleParameterValue,1372358
dbo,UserSampleType,8
dbo,UserSampleTypes,169692
dbo,UserShares,267
dbo,VaccinationMethod,5
dbo,VaccinatorType,3
